day	hour	value
1	1	91
1	2	46
1	3	29
1	4	25
1	5	27
1	6	55
1	7	139
1	8	244
1	9	480
1	10	463
1	11	384
1	12	336
1	13	379
1	14	374
1	15	455
1	16	442
1	17	635
1	18	568
1	19	453
1	20	333
1	21	247
1	22	162
1	23	135
1	24	101
2	1	68
2	2	42
2	3	23
2	4	11
2	5	18
2	6	48
2	7	135
2	8	261
2	9	522
2	10	462
2	11	388
2	12	361
2	13	354
2	14	372
2	15	474
2	16	536
2	17	651
2	18	606
2	19	534
2	20	394
2	21	284
2	22	215
2	23	166
2	24	117
3	1	71
3	2	43
3	3	17
3	4	18
3	5	21
3	6	40
3	7	157
3	8	264
3	9	478
3	10	454
3	11	352
3	12	342
3	13	352
3	14	345
3	15	454
3	16	503
3	17	631
3	18	636
3	19	565
3	20	422
3	21	300
3	22	236
3	23	183
3	24	120
4	1	86
4	2	51
4	3	39
4	4	21
4	5	23
4	6	49
4	7	155
4	8	258
4	9	481
4	10	422
4	11	341
4	12	331
4	13	364
4	14	386
4	15	474
4	16	489
4	17	613
4	18	583
4	19	485
4	20	374
4	21	318
4	22	258
4	23	218
4	24	133
5	1	119
5	2	65
5	3	34
5	4	40
5	5	31
5	6	50
5	7	141
5	8	240
5	9	435
5	10	405
5	11	338
5	12	316
5	13	364
5	14	358
5	15	532
5	16	585
5	17	663
5	18	655
5	19	488
5	20	402
5	21	307
5	22	211
5	23	182
5	24	157
6	1	170
6	2	128
6	3	113
6	4	85
6	5	85
6	6	70
6	7	46
6	8	60
6	9	132
6	10	175
6	11	226
6	12	295
6	13	313
6	14	373
6	15	413
6	16	365
6	17	459
6	18	394
6	19	344
6	20	278
6	21	264
6	22	212
6	23	249
6	24	182
7	1	164
7	2	140
7	3	101
7	4	82
7	5	77
7	6	76
7	7	58
7	8	41
7	9	87
7	10	127
7	11	178
7	12	257
7	13	268
7	14	393
7	15	450
7	16	441
7	17	463
7	18	403
7	19	357
7	20	278
7	21	248
7	22	197
7	23	190
7	24	120
