day	hour	value
1	1	68
1	2	41
1	3	41
1	4	27
1	5	32
1	6	42
1	7	77
1	8	145
1	9	321
1	10	305
1	11	292
1	12	317
1	13	340
1	14	353
1	15	386
1	16	312
1	17	312
1	18	271
1	19	253
1	20	158
1	21	118
1	22	102
1	23	102
1	24	61
2	1	72
2	2	23
2	3	22
2	4	17
2	5	17
2	6	54
2	7	107
2	8	138
2	9	304
2	10	357
2	11	312
2	12	321
2	13	282
2	14	368
2	15	385
2	16	301
2	17	320
2	18	279
2	19	230
2	20	198
2	21	151
2	22	117
2	23	91
2	24	83
3	1	49
3	2	41
3	3	21
3	4	13
3	5	22
3	6	37
3	7	76
3	8	126
3	9	272
3	10	269
3	11	278
3	12	282
3	13	284
3	14	338
3	15	335
3	16	284
3	17	314
3	18	295
3	19	229
3	20	169
3	21	118
3	22	112
3	23	87
3	24	81
4	1	65
4	2	51
4	3	30
4	4	26
4	5	31
4	6	44
4	7	91
4	8	150
4	9	274
4	10	280
4	11	299
4	12	312
4	13	307
4	14	314
4	15	350
4	16	287
4	17	328
4	18	292
4	19	241
4	20	182
4	21	154
4	22	124
4	23	143
4	24	103
5	1	95
5	2	50
5	3	46
5	4	25
5	5	35
5	6	50
5	7	100
5	8	152
5	9	268
5	10	256
5	11	264
5	12	327
5	13	311
5	14	317
5	15	346
5	16	295
5	17	300
5	18	305
5	19	239
5	20	178
5	21	182
5	22	114
5	23	122
5	24	105
6	1	115
6	2	88
6	3	68
6	4	67
6	5	87
6	6	67
6	7	73
6	8	56
6	9	137
6	10	155
6	11	176
6	12	202
6	13	190
6	14	220
6	15	255
6	16	201
6	17	223
6	18	222
6	19	178
6	20	151
6	21	141
6	22	144
6	23	139
6	24	115
7	1	142
7	2	122
7	3	90
7	4	89
7	5	99
7	6	89
7	7	77
7	8	58
7	9	80
7	10	90
7	11	132
7	12	171
7	13	182
7	14	217
7	15	236
7	16	195
7	17	231
7	18	179
7	19	190
7	20	162
7	21	167
7	22	141
7	23	120
7	24	93
