day	hour	value
1	1	3064
1	2	1811
1	3	1319
1	4	1080
1	5	1362
1	6	1867
1	7	3756
1	8	5861
1	9	11026
1	10	10337
1	11	9030
1	12	9011
1	13	9346
1	14	9637
1	15	11145
1	16	10544
1	17	12320
1	18	11737
1	19	10079
1	20	7731
1	21	6224
1	22	4824
1	23	4116
1	24	2945
2	1	2762
2	2	1574
2	3	1134
2	4	834
2	5	982
2	6	1708
2	7	3708
2	8	5845
2	9	11176
2	10	10898
2	11	9598
2	12	9491
2	13	9749
2	14	10157
2	15	11428
2	16	10592
2	17	12728
2	18	12443
2	19	10812
2	20	8556
2	21	6662
2	22	5231
2	23	4503
2	24	3327
3	1	2903
3	2	1674
3	3	1088
3	4	931
3	5	1085
3	6	1692
3	7	3517
3	8	5757
3	9	10914
3	10	10214
3	11	8815
3	12	8812
3	13	9565
3	14	9781
3	15	11517
3	16	10616
3	17	12830
3	18	12549
3	19	10991
3	20	8702
3	21	6875
3	22	5518
3	23	4729
3	24	3356
4	1	3133
4	2	1777
4	3	1278
4	4	1113
4	5	1234
4	6	1725
4	7	3522
4	8	5732
4	9	10990
4	10	10316
4	11	8958
4	12	9059
4	13	9511
4	14	9984
4	15	11360
4	16	10555
4	17	12511
4	18	12378
4	19	10773
4	20	8633
4	21	7122
4	22	5923
4	23	5161
4	24	3719
5	1	3719
5	2	2360
5	3	1734
5	4	1384
5	5	1646
5	6	1969
5	7	3767
5	8	5636
5	9	10434
5	10	10209
5	11	9029
5	12	9395
5	13	10005
5	14	10471
5	15	12592
5	16	11620
5	17	13448
5	18	13232
5	19	11342
5	20	9375
5	21	7828
5	22	6352
5	23	5946
5	24	4715
6	1	5082
6	2	3772
6	3	3257
6	4	2917
6	5	3364
6	6	2737
6	7	2673
6	8	2713
6	9	4765
6	10	5643
6	11	6468
6	12	7574
6	13	8425
6	14	9219
6	15	10056
6	16	8921
6	17	10409
6	18	9563
6	19	8670
6	20	7450
6	21	6854
6	22	6271
6	23	6125
6	24	4851
7	1	5208
7	2	4127
7	3	3501
7	4	3256
7	5	3777
7	6	3145
7	7	2376
7	8	2239
7	9	3541
7	10	4084
7	11	5267
7	12	6255
7	13	7255
7	14	8182
7	15	9390
7	16	8330
7	17	9521
7	18	8572
7	19	7681
7	20	6770
7	21	6004
7	22	5224
7	23	4697
7	24	3419
