day	hour	value
1	1	265
1	2	158
1	3	110
1	4	83
1	5	106
1	6	165
1	7	349
1	8	525
1	9	1078
1	10	1024
1	11	853
1	12	842
1	13	938
1	14	962
1	15	1107
1	16	1071
1	17	1278
1	18	1222
1	19	1054
1	20	829
1	21	637
1	22	479
1	23	409
1	24	294
2	1	247
2	2	136
2	3	89
2	4	53
2	5	79
2	6	161
2	7	388
2	8	535
2	9	1128
2	10	1079
2	11	915
2	12	975
2	13	1016
2	14	964
2	15	1124
2	16	1095
2	17	1346
2	18	1252
2	19	1093
2	20	896
2	21	729
2	22	510
2	23	421
2	24	304
3	1	258
3	2	151
3	3	97
3	4	80
3	5	103
3	6	180
3	7	328
3	8	564
3	9	1085
3	10	999
3	11	871
3	12	865
3	13	935
3	14	966
3	15	1141
3	16	1130
3	17	1292
3	18	1324
3	19	1159
3	20	923
3	21	724
3	22	587
3	23	493
3	24	357
4	1	306
4	2	156
4	3	114
4	4	97
4	5	94
4	6	140
4	7	292
4	8	539
4	9	1043
4	10	1010
4	11	919
4	12	959
4	13	913
4	14	968
4	15	1160
4	16	1116
4	17	1296
4	18	1276
4	19	1079
4	20	881
4	21	706
4	22	552
4	23	500
4	24	354
5	1	346
5	2	229
5	3	151
5	4	114
5	5	123
5	6	181
5	7	318
5	8	537
5	9	1046
5	10	1020
5	11	921
5	12	1018
5	13	1005
5	14	1046
5	15	1310
5	16	1216
5	17	1450
5	18	1381
5	19	1118
5	20	994
5	21	767
5	22	647
5	23	610
5	24	430
6	1	457
6	2	317
6	3	286
6	4	232
6	5	262
6	6	212
6	7	195
6	8	213
6	9	435
6	10	572
6	11	638
6	12	792
6	13	856
6	14	944
6	15	1017
6	16	937
6	17	1108
6	18	928
6	19	860
6	20	764
6	21	666
6	22	664
6	23	607
6	24	473
7	1	448
7	2	361
7	3	289
7	4	272
7	5	282
7	6	219
7	7	192
7	8	160
7	9	272
7	10	377
7	11	494
7	12	600
7	13	713
7	14	794
7	15	964
7	16	841
7	17	966
7	18	870
7	19	738
7	20	700
7	21	592
7	22	505
7	23	434
7	24	288
