lat,lon,type
40.499186,-74.211609,4
40.499186,-74.199555,4
40.499186,-74.187502,4
40.499186,-74.091073,4
40.499186,-74.079019,4
40.499186,-73.789733,4
40.499186,-73.777679,4
40.499186,-73.765626,4
40.499186,-73.753572,4
40.499186,-73.741519,4
40.499186,-73.729465,4
40.499186,-73.717411,4
40.499186,-73.705358,4
40.499186,-73.693304,4
40.499186,-73.681251,4
40.499186,-73.669197,4
40.50875,-74.211609,4
40.50875,-74.199555,4
40.50875,-74.187502,4
40.50875,-74.091073,4
40.50875,-73.789733,4
40.50875,-73.777679,4
40.50875,-73.765626,4
40.50875,-73.753572,4
40.50875,-73.741519,4
40.50875,-73.729465,4
40.50875,-73.717411,4
40.50875,-73.705358,4
40.50875,-73.693304,4
40.50875,-73.681251,4
40.518314,-74.211609,4
40.518314,-74.199555,4
40.518314,-74.187502,4
40.518314,-74.091073,4
40.518314,-74.042859,4
40.518314,-74.030805,4
40.518314,-73.789733,4
40.518314,-73.777679,4
40.518314,-73.765626,4
40.518314,-73.753572,4
40.518314,-73.741519,4
40.518314,-73.729465,4
40.518314,-73.717411,4
40.518314,-73.705358,4
40.518314,-73.693304,4
40.527878,-74.211609,4
40.527878,-74.199555,4
40.527878,-74.187502,4
40.527878,-74.175448,4
40.527878,-74.091073,4
40.527878,-74.042859,4
40.527878,-74.030805,4
40.527878,-73.958483,4
40.527878,-73.789733,4
40.527878,-73.777679,4
40.527878,-73.765626,4
40.527878,-73.753572,4
40.527878,-73.741519,4
40.527878,-73.729465,4
40.527878,-73.717411,4
40.527878,-73.705358,4
40.527878,-73.693304,4
40.537442,-74.211609,4
40.537442,-74.199555,4
40.537442,-74.187502,4
40.537442,-74.103127,4
40.537442,-74.042859,4
40.537442,-74.030805,4
40.537442,-74.018751,4
40.537442,-73.958483,4
40.537442,-73.765626,4
40.537442,-73.753572,4
40.537442,-73.741519,4
40.537442,-73.729465,4
40.537442,-73.717411,4
40.537442,-73.705358,4
40.547006,-74.211609,4
40.547006,-74.199555,4
40.547006,-74.187502,4
40.547006,-74.103127,4
40.547006,-74.091073,4
40.547006,-74.054912,4
40.547006,-74.042859,4
40.547006,-74.030805,4
40.547006,-74.018751,4
40.547006,-73.958483,4
40.547006,-73.94643,4
40.547006,-73.801787,4
40.547006,-73.765626,4
40.547006,-73.753572,4
40.547006,-73.741519,4
40.547006,-73.729465,4
40.547006,-73.717411,4
40.55657,-74.211609,4
40.55657,-74.199555,4
40.55657,-74.187502,4
40.55657,-74.163395,4
40.55657,-74.11518,4
40.55657,-74.103127,4
40.55657,-74.054912,4
40.55657,-74.030805,4
40.55657,-74.018751,4
40.55657,-73.958483,4
40.55657,-73.801787,4
40.55657,-73.753572,4
40.55657,-73.741519,4
40.55657,-73.729465,4
40.55657,-73.717411,4
40.566134,-74.103127,4
40.566134,-74.066966,4
40.566134,-74.030805,4
40.566134,-74.018751,4
40.566134,-74.006698,4
40.566134,-73.958483,4
40.566134,-73.801787,4
40.566134,-73.777679,4
40.566134,-73.753572,4
40.566134,-73.741519,4
40.566134,-73.729465,4
40.575698,-74.030805,4
40.575698,-74.018751,4
40.575698,-74.006698,4
40.575698,-73.982591,4
40.575698,-73.970537,4
40.575698,-73.850001,4
40.575698,-73.801787,4
40.575698,-73.777679,4
40.575698,-73.753572,4
40.575698,-73.741519,4
40.585262,-73.982591,4
40.585262,-73.777679,4
40.585262,-73.765626,4
40.585262,-73.753572,4
40.585262,-73.741519,4
40.594826,-74.079019,4
40.594826,-73.825894,4
40.594826,-73.777679,4
40.594826,-73.765626,4
40.594826,-73.753572,4
40.60439,-73.777679,4
40.60439,-73.765626,4
40.613954,-74.163395,4
40.613954,-74.042859,4
40.613954,-73.777679,4
40.623518,-74.163395,4
40.623518,-74.139287,4
40.623518,-74.127234,4
40.623518,-74.091073,4
40.623518,-74.079019,4
40.623518,-74.054912,4
40.623518,-73.958483,4
40.623518,-73.777679,4
40.633082,-74.091073,4
40.633082,-74.079019,4
40.633082,-74.066966,4
40.633082,-74.030805,4
40.633082,-74.018751,4
40.633082,-73.958483,4
40.642646,-74.006698,4
40.642646,-73.862055,4
