fatigued30,lat,lon
fatigued30, 40.499186, -74.127234 
fatigued30, 40.499186, -74.066966 
fatigued30, 40.499186, -73.777679 
fatigued30, 40.508750, -74.127234 
fatigued30, 40.508750, -74.115180 
fatigued30, 40.508750, -73.898215 
fatigued30, 40.508750, -73.777679 
fatigued30, 40.518314, -74.139287 
fatigued30, 40.518314, -74.079019 
fatigued30, 40.518314, -73.898215 
fatigued30, 40.518314, -73.777679 
fatigued30, 40.527878, -74.139287 
fatigued30, 40.527878, -74.079019 
fatigued30, 40.527878, -73.910269 
fatigued30, 40.527878, -73.898215 
fatigued30, 40.537442, -74.211609 
fatigued30, 40.537442, -74.103127 
fatigued30, 40.537442, -74.091073 
fatigued30, 40.537442, -74.054912 
fatigued30, 40.537442, -74.042859 
fatigued30, 40.537442, -73.910269 
fatigued30, 40.537442, -73.898215 
fatigued30, 40.537442, -73.789733 
fatigued30, 40.547006, -74.211609 
fatigued30, 40.547006, -74.199555 
fatigued30, 40.547006, -74.187502 
fatigued30, 40.547006, -74.103127 
fatigued30, 40.547006, -74.054912 
fatigued30, 40.547006, -74.042859 
fatigued30, 40.547006, -73.910269 
fatigued30, 40.547006, -73.898215 
fatigued30, 40.547006, -73.886162 
fatigued30, 40.547006, -73.801787 
fatigued30, 40.556570, -74.211609 
fatigued30, 40.556570, -74.199555 
fatigued30, 40.556570, -74.187502 
fatigued30, 40.556570, -74.175448 
fatigued30, 40.556570, -74.163395 
fatigued30, 40.556570, -74.139287 
fatigued30, 40.556570, -74.115180 
fatigued30, 40.556570, -74.091073 
fatigued30, 40.556570, -74.066966 
fatigued30, 40.556570, -74.054912 
fatigued30, 40.556570, -74.042859 
fatigued30, 40.556570, -73.910269 
fatigued30, 40.556570, -73.898215 
fatigued30, 40.556570, -73.886162 
fatigued30, 40.556570, -73.801787 
fatigued30, 40.566134, -74.211609 
fatigued30, 40.566134, -74.199555 
fatigued30, 40.566134, -74.187502 
fatigued30, 40.566134, -74.175448 
fatigued30, 40.566134, -74.163395 
fatigued30, 40.566134, -74.151341 
fatigued30, 40.566134, -74.066966 
fatigued30, 40.566134, -74.054912 
fatigued30, 40.566134, -73.922323 
fatigued30, 40.566134, -73.910269 
fatigued30, 40.566134, -73.898215 
fatigued30, 40.566134, -73.886162 
fatigued30, 40.566134, -73.813840 
fatigued30, 40.566134, -73.801787 
fatigued30, 40.575698, -74.211609 
fatigued30, 40.575698, -74.199555 
fatigued30, 40.575698, -74.175448 
fatigued30, 40.575698, -74.163395 
fatigued30, 40.575698, -74.151341 
fatigued30, 40.575698, -74.066966 
fatigued30, 40.575698, -74.042859 
fatigued30, 40.575698, -74.030805 
fatigued30, 40.575698, -73.934376 
fatigued30, 40.575698, -73.922323 
fatigued30, 40.575698, -73.910269 
fatigued30, 40.575698, -73.898215 
fatigued30, 40.575698, -73.886162 
fatigued30, 40.575698, -73.813840 
fatigued30, 40.575698, -73.801787 
fatigued30, 40.585262, -74.211609 
fatigued30, 40.585262, -74.199555 
fatigued30, 40.585262, -74.187502 
fatigued30, 40.585262, -74.175448 
fatigued30, 40.585262, -74.163395 
fatigued30, 40.585262, -74.151341 
fatigued30, 40.585262, -74.139287 
fatigued30, 40.585262, -74.127234 
fatigued30, 40.585262, -74.115180 
fatigued30, 40.585262, -74.042859 
fatigued30, 40.585262, -74.030805 
fatigued30, 40.585262, -74.018751 
fatigued30, 40.585262, -74.006698 
fatigued30, 40.585262, -73.958483 
fatigued30, 40.585262, -73.946430 
fatigued30, 40.585262, -73.934376 
fatigued30, 40.585262, -73.922323 
fatigued30, 40.585262, -73.910269 
fatigued30, 40.585262, -73.898215 
fatigued30, 40.585262, -73.886162 
fatigued30, 40.585262, -73.874108 
fatigued30, 40.585262, -73.825894 
fatigued30, 40.585262, -73.813840 
fatigued30, 40.594826, -74.211609 
fatigued30, 40.594826, -74.199555 
fatigued30, 40.594826, -74.187502 
fatigued30, 40.594826, -74.175448 
fatigued30, 40.594826, -74.139287 
fatigued30, 40.594826, -74.115180 
fatigued30, 40.594826, -74.042859 
fatigued30, 40.594826, -74.030805 
fatigued30, 40.594826, -74.018751 
fatigued30, 40.594826, -73.994644 
fatigued30, 40.594826, -73.910269 
fatigued30, 40.594826, -73.898215 
fatigued30, 40.594826, -73.886162 
fatigued30, 40.594826, -73.874108 
fatigued30, 40.594826, -73.825894 
fatigued30, 40.594826, -73.813840 
fatigued30, 40.604390, -74.211609 
fatigued30, 40.604390, -74.199555 
fatigued30, 40.604390, -74.187502 
fatigued30, 40.604390, -74.163395 
fatigued30, 40.604390, -74.151341 
fatigued30, 40.604390, -74.139287 
fatigued30, 40.604390, -74.103127 
fatigued30, 40.604390, -74.091073 
fatigued30, 40.604390, -74.079019 
fatigued30, 40.604390, -74.066966 
fatigued30, 40.604390, -74.054912 
fatigued30, 40.604390, -74.042859 
fatigued30, 40.604390, -74.030805 
fatigued30, 40.604390, -74.018751 
fatigued30, 40.604390, -73.910269 
fatigued30, 40.604390, -73.898215 
fatigued30, 40.604390, -73.886162 
fatigued30, 40.604390, -73.874108 
fatigued30, 40.604390, -73.837947 
fatigued30, 40.604390, -73.825894 
fatigued30, 40.604390, -73.813840 
