lat,lon,type
40.499186,-74.103127,2
40.50875,-74.127234,2
40.50875,-74.11518,2
40.50875,-73.801787,2
40.518314,-74.127234,2
40.518314,-74.054912,2
40.518314,-73.801787,2
40.527878,-74.054912,2
40.527878,-73.801787,2
40.537442,-74.175448,2
40.537442,-74.139287,2
40.537442,-74.066966,2
40.537442,-74.054912,2
40.537442,-73.801787,2
40.537442,-73.789733,2
40.537442,-73.777679,2
40.547006,-74.175448,2
40.547006,-74.066966,2
40.547006,-73.789733,2
40.547006,-73.777679,2
40.55657,-74.139287,2
40.55657,-74.079019,2
40.55657,-74.066966,2
40.55657,-74.042859,2
40.55657,-73.874108,2
40.55657,-73.81384,2
40.55657,-73.789733,2
40.55657,-73.777679,2
40.55657,-73.765626,2
40.566134,-74.187502,2
40.566134,-74.175448,2
40.566134,-74.163395,2
40.566134,-74.151341,2
40.566134,-74.11518,2
40.566134,-74.079019,2
40.566134,-74.042859,2
40.566134,-73.886162,2
40.566134,-73.874108,2
40.566134,-73.81384,2
40.566134,-73.789733,2
40.566134,-73.765626,2
40.575698,-74.127234,2
40.575698,-74.091073,2
40.575698,-74.079019,2
40.575698,-74.054912,2
40.575698,-74.042859,2
40.575698,-73.910269,2
40.575698,-73.898215,2
40.575698,-73.886162,2
40.575698,-73.874108,2
40.575698,-73.81384,2
40.575698,-73.789733,2
40.575698,-73.765626,2
40.585262,-74.163395,2
40.585262,-74.11518,2
40.585262,-74.066966,2
40.585262,-74.054912,2
40.585262,-73.994644,2
40.585262,-73.970537,2
40.585262,-73.958483,2
40.585262,-73.94643,2
40.585262,-73.934376,2
40.585262,-73.910269,2
40.585262,-73.898215,2
40.585262,-73.886162,2
40.585262,-73.874108,2
40.594826,-74.199555,2
40.594826,-74.187502,2
40.594826,-74.11518,2
40.594826,-74.042859,2
40.594826,-74.018751,2
40.594826,-73.994644,2
40.594826,-73.910269,2
40.594826,-73.886162,2
40.594826,-73.874108,2
40.594826,-73.862055,2
40.594826,-73.81384,2
40.60439,-74.211609,2
40.60439,-74.199555,2
40.60439,-74.187502,2
40.60439,-74.139287,2
40.60439,-74.103127,2
40.60439,-74.079019,2
40.60439,-74.066966,2
40.60439,-74.030805,2
40.60439,-73.934376,2
40.60439,-73.922323,2
40.60439,-73.910269,2
40.60439,-73.898215,2
40.60439,-73.874108,2
40.60439,-73.837947,2
40.60439,-73.825894,2
40.60439,-73.81384,2
40.613954,-74.211609,2
40.613954,-74.199555,2
40.613954,-74.187502,2
40.613954,-74.175448,2
40.613954,-74.151341,2
40.613954,-74.103127,2
40.613954,-74.091073,2
40.613954,-73.982591,2
40.613954,-73.910269,2
40.613954,-73.874108,2
40.613954,-73.862055,2
40.613954,-73.850001,2
40.613954,-73.837947,2
40.613954,-73.825894,2
40.623518,-74.211609,2
40.623518,-74.175448,2
40.623518,-74.103127,2
40.623518,-74.030805,2
40.623518,-74.018751,2
40.623518,-73.934376,2
40.623518,-73.898215,2
40.623518,-73.874108,2
40.623518,-73.862055,2
40.623518,-73.850001,2
40.623518,-73.837947,2
40.623518,-73.825894,2
40.623518,-73.81384,2
40.623518,-73.801787,2
40.623518,-73.741519,2
40.623518,-73.729465,2
40.623518,-73.717411,2
40.633082,-74.103127,2
40.633082,-74.054912,2
40.633082,-74.042859,2
40.633082,-73.970537,2
40.633082,-73.910269,2
40.633082,-73.886162,2
40.633082,-73.874108,2
40.633082,-73.862055,2
40.633082,-73.825894,2
40.633082,-73.81384,2
40.633082,-73.801787,2
40.633082,-73.789733,2
40.633082,-73.765626,2
40.633082,-73.753572,2
40.633082,-73.741519,2
40.633082,-73.729465,2
40.642646,-74.054912,2
40.642646,-74.018751,2
40.642646,-73.958483,2
40.642646,-73.922323,2
40.642646,-73.874108,2
40.642646,-73.789733,2
40.642646,-73.765626,2
40.642646,-73.741519,2
40.65221,-74.042859,2
40.65221,-74.006698,2
40.65221,-73.958483,2
40.65221,-73.922323,2
40.65221,-73.886162,2
40.65221,-73.862055,2
40.65221,-73.837947,2
40.65221,-73.81384,2
40.65221,-73.789733,2
40.65221,-73.777679,2
40.65221,-73.765626,2
40.661774,-74.163395,2
40.661774,-74.079019,2
40.661774,-73.94643,2
40.661774,-73.850001,2
40.661774,-73.825894,2
40.661774,-73.81384,2
40.661774,-73.789733,2
40.661774,-73.777679,2
40.671338,-74.091073,2
40.671338,-74.079019,2
40.671338,-73.922323,2
40.671338,-73.862055,2
40.671338,-73.837947,2
40.671338,-73.753572,2
40.671338,-73.717411,2
40.671338,-73.705358,2
40.671338,-73.693304,2
40.671338,-73.681251,2
40.671338,-73.669197,2
40.671338,-73.657143,2
40.671338,-73.64509,2
40.671338,-73.633036,2
40.680902,-74.091073,2
40.680902,-74.079019,2
40.680902,-73.765626,2
40.680902,-73.729465,2
40.680902,-73.717411,2
40.680902,-73.705358,2
40.680902,-73.693304,2
40.680902,-73.681251,2
40.680902,-73.669197,2
40.680902,-73.657143,2
40.680902,-73.64509,2
40.690466,-74.175448,2
40.690466,-74.091073,2
40.690466,-74.079019,2
40.690466,-74.066966,2
40.690466,-73.994644,2
40.690466,-73.958483,2
40.690466,-73.886162,2
40.690466,-73.825894,2
40.690466,-73.741519,2
40.690466,-73.717411,2
40.690466,-73.705358,2
40.690466,-73.693304,2
